row ID	IDs	Majority IDs	names	Gene names	logFc	Pval
Row10	A0A1I9LT02;Q9M9P3	A0A1I9LT02;Q9M9P3	Probable UTP--glucose-1-phosphate uridylyltransferase 2	NA	3.945708955495391	6.953443468812758E-5
Row11	A0A1P8ATL2;Q9SA52	A0A1P8ATL2;Q9SA52	Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic	CSP41B	3.202918011839696	2.0013730250483448E-5
Row12	A0A1P8AWQ7;F4HPY8;Q9ASZ9;Q93ZN2;Q84M96;O22707	A0A1P8AWQ7;F4HPY8;Q9ASZ9;Q93ZN2;Q84M96;O22707	Probable aldo-keto reductase 6;Probable aldo-keto reductase 5;Probable aldo-keto reductase 4;Probable aldo-keto reductase 2;Probable aldo-keto reductase 3	AGD2	NA	NA
Row13	A0A1P8AWX3;F4HR92	A0A1P8AWX3	NA	NA	NA	NA
Row14	A0A1P8AY88;Q9FFK7	A0A1P8AY88;Q9FFK7	NA	At5g05670	NA	NA
Row15	A0A1P8B068	A0A1P8B068	NA	NA	2.8681766221965503	0.0014485403397988894
Row16	A0A1P8B167;Q9SJU9	A0A1P8B167;Q9SJU9	Epimerase family protein SDR39U1 homolog, chloroplastic	GC1	NA	NA
Row17	A0A1P8B4W3;F4JIE1;Q8GXE2;Q8W108	A0A1P8B4W3;F4JIE1;Q8GXE2;Q8W108	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase;1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2;1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3	ATARD2;ARD2;ARD3	NA	NA
Row18	A0A1P8B564;P25819	A0A1P8B564;P25819	Catalase-2	CAT2	4.930506546491028	5.636192658799199E-5
Row19	Q8H1G4;A0A1P8B5Z0	Q8H1G4;A0A1P8B5Z0	NA	At4g37560	NA	NA
Row20	A0A1P8B667	A0A1P8B667	NA	NA	NA	NA
Row21	A0A1P8B9L1;Q9S7E4	A0A1P8B9L1;Q9S7E4	Formate dehydrogenase, mitochondrial	FDH1	4.864803421189134	5.401373388981581E-4
Row22	A0A1P8BFG5;Q9FK35	A0A1P8BFG5;Q9FK35	Adenylate kinase 3	ADK2	NA	NA
Row23	A0A1P8BG25;Q9SD73;Q9SD68;Q8RWM4	A0A1P8BG25	NA	NA	2.83461281761069	6.493149819216916E-4
Row24	A0A1W2PNV4	A0A1W2PNV4	NA	NA	NA	NA
Row25	A0A1W2PQS6;O95989	A0A1W2PQS6	NA	NA	-0.8783705236367254	0.06712243466499963
Row26	A0A1W2PRB8;Q9H0W9;Q9NVC6	A0A1W2PRB8;Q9H0W9	Ester hydrolase C11orf54	C11orf54	-0.54553332199918	0.11123154377389705
Row27	A0A219HZL6	A0A219HZL6	NA	NA	0.8035722841227759	0.02084627610882875
Row28	A0A219I0W9;Q9ZSR7	A0A219I0W9;Q9ZSR7	Triose phosphate/phosphate translocator TPT, chloroplastic	TPT	3.504347872904141	0.0014361326278095586
Row29	A0AVT1	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	UBA6	-1.0523673196780337	0.0042900493216396175
Row30	A0FGR8	A0FGR8	Extended synaptotagmin-2	ESYT2	NA	NA
Row31	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL	-1.4069487378300245	0.09118676115712253
Row32	A3KN83	A3KN83	Protein strawberry notch homolog 1	SBNO1	NA	NA
Row33	A4D1E9	A4D1E9	GTP-binding protein 10	GTPBP10	-0.3394439985239579	0.29074929136183175
Row34	A5YKK6	A5YKK6	CCR4-NOT transcription complex subunit 1	CNOT1	-0.4715362750170442	0.13961088968978816
Row35	A6NDG6	A6NDG6	Phosphoglycolate phosphatase	PGP	-0.811992607641983	0.005317008316939826
Row36	A6NFQ2;A0A1B0GVM2	A6NFQ2;A0A1B0GVM2	TRPM8 channel-associated factor 2	TCAF2	-0.21675458528065406	0.6193144343897805
Row37	A6NHQ2	A6NHQ2	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	-0.44400135233228966	0.16286499976721788
Row38	A6NHR9	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	-2.57305432684117	0.00127896173542733
Row39	A6NJ78	A6NJ78	Probable methyltransferase-like protein 15	METTL15	-0.5447352329444222	0.06313606641372435
Row40	A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	RanBP2-like and GRIP domain-containing protein 3;RanBP2-like and GRIP domain-containing protein 4	RGPD3;RGPD4	-0.7030142834518784	0.03602079717425749
Row41	A8CG34;Q96HA1	A8CG34;Q96HA1	Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121	POM121C;POM121	NA	NA
Row42	A8MXV4;REV__Q8L7U7;REV__Q9SKH9	A8MXV4	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19	-0.3408213839917238	0.7016285281778024
Row43	A9UHW6	A9UHW6	MIF4G domain-containing protein	MIF4GD	NA	NA
Row44	B0I1T2	B0I1T2	Unconventional myosin-Ig;Minor histocompatibility antigen HA-2	MYO1G	-0.6018063602510431	0.008617016449436413
Row45	B3H5K3	B3H5K3	NA	At5g47690	NA	NA
Row46	B3LFA4	B3LFA4	NA	At5g38830	NA	NA
Row47	B4DLN1;Q9UBX3	B4DLN1;Q9UBX3	Mitochondrial dicarboxylate carrier	SLC25A10	-0.5038475742081268	0.019944197947247572
Row48	P0CG08;B7ZAQ6	P0CG08;B7ZAQ6	Golgi pH regulator B;Golgi pH regulator A	GPR89B;GPR89A	NA	NA
Row49	B7ZWR6	B7ZWR6	Outer envelope protein 61	OEP61	NA	NA
Row50	B9DG73	B9DG73	NA	At3g11930	NA	NA
Row51	B9DGD6	B9DGD6	Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal	ACS	NA	NA
Row52	Q0WV25;P29511;B9DGT7	Q0WV25;P29511;B9DGT7	Tubulin alpha-4 chain;Tubulin alpha-6 chain;Tubulin alpha-2 chain	TUBA4;TUBA6;TUBA2	3.2865013655102615	9.347891599396003E-5
Row53	Q56WH1;B9DHQ0	Q56WH1;B9DHQ0	Tubulin alpha-3 chain;Tubulin alpha-5 chain	TUBA3;TUBA5	-0.2290068760008488	0.08758969609521348
Row54	C0SVV6	C0SVV6	Calmodulin-binding protein 60 A	CBP60A	NA	NA
Row55	C0Z361;Q9C667	C0Z361	Chaperonin 60 subunit beta 3, chloroplastic	CPN60B3	NA	NA
Row56	C9JAW5;Q9Y241	C9JAW5;Q9Y241	HIG1 domain family member 1A, mitochondrial	HIGD1A	NA	NA
Row57	E7ENX8;P13765;Q94JY4;Q8N5H7	E7ENX8	NA	NA	-0.6572285356667891	0.013358939398259903
Row58	E7EVH7;Q07866;Q9H0B6	E7EVH7;Q07866	Kinesin light chain 1	KLC1	-1.6681384025632262	0.011140750960584637
Row59	E9PAV3;Q9BZK3	E9PAV3	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	-0.15467844653911555	0.24955157986620716
Row60	E9PL57;Q15843;Q86V88	E9PL57;Q15843	NEDD8	NEDD8-MDP1;NEDD8	-0.5855974811926963	0.00786843530113418
Row61	E9PLD3;E9PRG8	E9PLD3;E9PRG8	Uncharacterized protein C11orf98	C11orf98	-0.6785743037060783	0.10491450495892302
Row62	E9PLN8;Q9BQB6	E9PLN8;Q9BQB6	Vitamin K epoxide reductase complex subunit 1	VKORC1	-0.9454482541870206	0.009252338534853357
Row63	F4HS99;F4HZK4	F4HS99;F4HZK4	NA	At1g01320;At1g15290	NA	NA
Row64	F4HTY0	F4HTY0	NA	At1g80500	NA	NA
Row65	F4JU70;F4HW79;O04619	F4JU70;F4HW79;O04619	Mitochondrial adenine nucleotide transporter ADNT1	At1g14560;ADNT1	-0.4473354874831408	0.01949029532595723
Row66	F4HWQ5;P46077;Q8WXH0	F4HWQ5;P46077	14-3-3-like protein GF14 phi	GF14 PHI;GRF4	NA	NA
Row67	F4HXV6	F4HXV6	Nuclear pore complex protein NUP155	NUP155	NA	NA
Row68	F4HYF3	F4HYF3	Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase, mitochondrial	DCD	NA	NA
Row69	F4I082	F4I082	NA	At1g55260	NA	NA
Row70	F4I116	F4I116	NA	At1g09620	NA	NA
Row71	F4I3J6	F4I3J6	NA	At1g56100	NA	NA
Row72	F4I420	F4I420	NA	At1g76810	NA	NA
Row73	F4I7I0;Q9LDV4	F4I7I0	Alanine aminotransferase 1, mitochondrial	ALAAT1	3.7178696933138617	0.011781260547881985
Row74	F4I7X1	F4I7X1	NA	SKS6	NA	NA
Row75	F4IBL0	F4IBL0	NA	At1g65820	NA	NA
Row76	F4IC59	F4IC59	NA	At1g12230	0.7443819737467372	0.30896902055015113
Row77	F4ICX9	F4ICX9	TSK-associating protein 1	TSA1	NA	NA
Row78	F4IFC5	F4IFC5	NA	EMB2761	NA	NA
Row79	F4IG09	F4IG09	NA	At2g39850	NA	NA
Row80	F4IGA5	F4IGA5	Nuclear pore complex protein NUP133	NUP133	-2.8306099041854296	0.29379125298441433
Row81	F4II66;Q38884	F4II66;Q38884	Eukaryotic translation initiation factor 3 subunit I	At2g46290;TIF3I1	NA	NA
Row82	F4IIA5;O81147	F4IIA5;O81147	Proteasome subunit alpha type-6-B	PAA2	NA	NA
Row83	F4IIM1	F4IIM1	NA	At2g22125	NA	NA
Row84	F4IK85	F4IK85	NA	At2g07020	NA	NA
Row85	F4IKG5	F4IKG5	NA	At2g22795	NA	NA
Row86	F4IM84	F4IM84	NA	At2g01130	-1.649190872453186	0.014723732899433828
Row87	F4IMK2	F4IMK2	Putative methylesterase 6	MES6	NA	NA
Row88	F4IP55;Q96299	F4IP55;Q96299	14-3-3-like protein GF14 mu	GRF9	2.9911306153138604	0.00987779143401438
Row89	F4IQY0;A0A1I9LNX5	F4IQY0;A0A1I9LNX5	NA	At2g37520	NA	NA
Row90	F4IRX7	F4IRX7	NA	SOUL-1	NA	NA
Row91	F4ISU2;F4I8Q1	F4ISU2	NA	At2g32240	NA	NA
Row92	F4IWK4	F4IWK4	NA	At3g27570	NA	NA
Row93	F4IWV2;REV__Q9Y6G1	F4IWV2	NA	At3g55410	NA	NA
Row94	F4IXW2	F4IXW2	Brefeldin A-inhibited guanine nucleotide-exchange protein 5	BIG5	NA	NA
Row95	F4IYF8	F4IYF8	NA	At3g02760	NA	NA
Row96	F4IYK3	F4IYK3	NA	At3g08943	NA	NA
Row97	Q9SMV6;F4IZR5	Q9SMV6;F4IZR5	Protein EXPORTIN 1A;Protein EXPORTIN 1B	XPO1;XPO1B	NA	NA
Row98	F4J4K6	F4J4K6	NA	At3g57890	NA	NA
Row99	F4J6A1;Q9FI86	F4J6A1	Eukaryotic translation initiation factor 3 subunit G	EIF3G1	NA	NA
Row100	F4J8D3	F4J8D3	Protein TPLATE	TPLATE	NA	NA
Row101	F4J9G2	F4J9G2	NA	At3g59780	NA	NA
Row102	F4J9K9	F4J9K9	NA	At3g05900	NA	NA
Row103	F4JB05;F4JNE0	F4JB05;F4JNE0	NA	At3g12915	1.3077493573248873	0.04019185518059087
Row104	F4JEQ1	F4JEQ1	Glycerophosphodiester phosphodiesterase GDPDL5	GDPDL5	NA	NA
Row105	F4JEX5	F4JEX5	NA	At3g27120	0.25219302887535733	0.2626145043799491
Row106	F4JFN3	F4JFN3	NA	Hsp89.1	-0.8211612842219758	0.0372716449007766
Row107	F4JGP4	F4JGP4	Kinesin-5	ATK5	NA	NA
Row108	F4JKH6	F4JKH6	NA	At4g28080	-0.7664192744694631	0.3042715517826612
Row109	F4JL11;O04294;Q9FWY7;O80480	F4JL11	Importin subunit alpha-2	IMPA2	NA	NA
Row110	F4JLP5	F4JLP5	Dihydrolipoyl dehydrogenase 2, chloroplastic	LPD2	NA	NA
Row111	O49652;F4JLY4	O49652;F4JLY4	NA	T12H17.100;CYP706A1	NA	NA
Row112	F4JMJ1	F4JMJ1	Heat shock 70 kDa protein 17	HSP70-17	2.7098875320260873	0.016203103576431222
Row113	F4JML5	F4JML5	NA	At4g16800	-0.5299102613787561	0.2132999511138012
Row114	F4JQ55;Q9STX5	F4JQ55;Q9STX5	Endoplasmin homolog	SHD	4.231467352082774	2.4377605864326116E-5
Row115	F4JQG6	F4JQG6	NA	At4g36700	3.460131345575828	0.006204798314636634
Row116	F4JRE0;Q9FYQ8	F4JRE0;Q9FYQ8	Transmembrane 9 superfamily member 12;Transmembrane 9 superfamily member 11	TMN12;TMN11	NA	NA
Row117	F4JRI7	F4JRI7	NA	At4g12960	4.183138091344947	1.0963097178629253E-4
Row118	F4JRN8	F4JRN8	NA	At4g18810	NA	NA
Row119	F4JTK8	F4JTK8	Aminoacylase-1	At4g38220	NA	NA
Row120	F4JTN1	F4JTN1	NA	At4g38350	NA	NA
Row121	F4JTU8	F4JTU8	NA	At4g13885	NA	NA
Row122	F4JUM1	F4JUM1	NA	At4g14160	NA	NA
Row123	F4JUY5	F4JUY5	Gibberellic acid methyltransferase 1	GAMT1	NA	NA
Row124	F4JVC1;Q03251	F4JVC1;Q03251	Glycine-rich RNA-binding protein 8	CCR1;RBG8	2.6950439857159125	0.002236268682077608
Row125	F4JVN6	F4JVN6	Tripeptidyl-peptidase 2	TPP2	NA	NA
Row126	F4JXW9	F4JXW9	NA	At5g11560	NA	NA
Row127	F4JY76	F4JY76	Eukaryotic translation initiation factor 3 subunit L	NA	1.2083858293986083	0.013360021235475526
Row128	F4K0E8	F4K0E8	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), chloroplastic	ISPG	NA	NA
Row129	F4K1G7	F4K1G7	NA	At5g35970	-0.7522828229326812	0.08692669448895103
Row130	F4K410	F4K410	NA	At5g13650	NA	NA
Row131	F4K5B9;Q95460	F4K5B9	NA	At5g07030	3.749792147158171	0.006839028528936982
Row132	F4K5S0	F4K5S0	NA	At5g27970	NA	NA
Row133	F4KHU8;Q9FIE8;Q8VZC0	F4KHU8;Q9FIE8	UDP-glucuronic acid decarboxylase 3	UXS3	4.8437988215684875	7.476616898189886E-5
Row134	F4KHY7;P48348	F4KHY7;P48348	14-3-3-like protein GF14 kappa	GRF8	NA	NA
Row135	F4KIB2;Q8RWW1	F4KIB2	Transmembrane 9 superfamily member 8	TMN8	NA	NA
Row136	F5H5P2;P12694	F5H5P2;P12694	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	BCKDHA	-0.34688438909812547	0.3085021091105961
Row137	F8W031;Q9Y2B0	F8W031;Q9Y2B0	Protein canopy homolog 2	CNPY2	-1.3045258349127025	0.012534213027962688
Row138	H0YAA0	H0YAA0	NA	NA	NA	NA
Row139	H0YC42	H0YC42	NA	NA	-0.24774157137358088	0.3214743560599213
Row140	H3BN98;Q15041	H3BN98	NA	NA	-2.206523837819841	0.050327396312551086
Row141	I3L0E3;Q9Y2R5	I3L0E3;Q9Y2R5	28S ribosomal protein S17, mitochondrial	hCG_1984214;MRPS17	-1.0867305673206218	0.042723233948772414
Row142	K7EQG2	K7EQG2	NA	NA	-0.21819814245840163	0.45266879372783525
Row143	K7ERE1;Q8N2U0	K7ERE1;Q8N2U0	Transmembrane protein 256	TMEM256	NA	NA
Row144	L7N2F9;Q15836;P63027	L7N2F9;Q15836;P63027	Vesicle-associated membrane protein 3;Vesicle-associated membrane protein 2	VAMP3;VAMP2	-0.8361131798272581	0.006175682603075671
Row145	M0QYT0	M0QYT0	NA	NA	-0.6696723527498243	0.08001423362878778
Row146	M0QZD8	M0QZD8	NA	NA	-1.1103856065872755	0.0032157719207737507
Row147	O00115	O00115	Deoxyribonuclease-2-alpha	DNASE2	-0.6337563163074336	0.25466275235685526
Row148	O00116	O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	0.6318846462016161	0.040990148168498226
Row149	O00139;Q8N4N8	O00139	Kinesin-like protein KIF2A	KIF2A	-0.8664315360589789	0.0063407672658832145
Row150	O00148	O00148	ATP-dependent RNA helicase DDX39A	DDX39A	-0.6375965793548772	0.016130658817233582
Row151	O00151	O00151	PDZ and LIM domain protein 1	PDLIM1	-0.5170910891954854	0.009096163690586684
Row152	O00154;Q6ZUV0	O00154	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	-1.0514525697066475	0.019416471340776745
Row153	O00161	O00161	Synaptosomal-associated protein 23	SNAP23	-0.799946852464231	0.17305754405629942
Row154	O00165	O00165	HCLS1-associated protein X-1	HAX1	NA	NA
Row155	O00170	O00170	AH receptor-interacting protein	AIP	-0.5488786197662066	0.06921072973331752
Row156	O00178	O00178	GTP-binding protein 1	GTPBP1	-0.6645352033078247	0.4044786851295587
Row157	O00182;Q6DKI2;Q3B8N2	O00182;Q6DKI2;Q3B8N2	Galectin-9;Galectin-9C;Galectin-9B	LGALS9;LGALS9C;LGALS9B	0.16990699843643853	0.7313587593841526
Row158	O00186	O00186	Syntaxin-binding protein 3	STXBP3	NA	NA
Row159	O00193	O00193	Small acidic protein	SMAP	-0.74767476969512	0.014518286180482941
Row160	O00203;Q13367	O00203	AP-3 complex subunit beta-1	AP3B1	-1.1232221774352276	0.009096163690586684
Row161	O00217	O00217	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	-0.34705081960389705	0.5323678211044914
Row162	O00231	O00231	26S proteasome non-ATPase regulatory subunit 11	PSMD11	-0.28083290037683284	0.23752791619616145
Row163	O00232	O00232	26S proteasome non-ATPase regulatory subunit 12	PSMD12	-0.4684324585526731	0.015157070833229114
Row164	O00233	O00233	26S proteasome non-ATPase regulatory subunit 9	PSMD9	-0.6574808289912184	0.22094268311649848
Row165	O00244	O00244	Copper transport protein ATOX1	ATOX1	-0.6605319873043882	0.2554154993728273
Row166	O00264	O00264	Membrane-associated progesterone receptor component 1	PGRMC1	0.20906112631895368	0.41968417641689515
Row167	O00267	O00267	Transcription elongation factor SPT5	SUPT5H	-1.3628681906844768	0.013525601267996835
Row168	O00273	O00273	DNA fragmentation factor subunit alpha	DFFA	-0.9023554447056235	0.0014246720994422223
Row169	O00291	O00291	Huntingtin-interacting protein 1	HIP1	-0.5341911591364159	0.37660313882763186
Row170	O00299	O00299	Chloride intracellular channel protein 1	CLIC1	-0.6955880092658582	0.0036694263620341756
Row171	O00303	O00303	Eukaryotic translation initiation factor 3 subunit F	EIF3F	-0.5654657941435808	0.011677352430436183
Row172	O00329;P42338	O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	PIK3CD	-0.23475836264231376	0.6549200275986716
Row173	O00330	O00330	Pyruvate dehydrogenase protein X component, mitochondrial	PDHX	-1.4929318808152914	0.025788435959073718
Row174	O00410;O60518	O00410	Importin-5	IPO5	-0.46509746434649557	0.011494338166434373
Row175	O00411	O00411	DNA-directed RNA polymerase, mitochondrial	POLRMT	NA	NA
Row176	O00422;O64644	O00422	Histone deacetylase complex subunit SAP18	SAP18	-0.14784403908304355	0.32808402199954056
Row177	O00425;Q9NZI8;Q9Y6M1;Q9M082;Q0WVH7	O00425	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3	-0.46950890629177877	0.016035771743583345
Row178	O00429	O00429	Dynamin-1-like protein	DNM1L	-1.197214156303609	0.003816774876391627
Row179	O00442	O00442	RNA 3-terminal phosphate cyclase	RTCA	NA	NA
Row180	O00461	O00461	Golgi integral membrane protein 4	GOLIM4	-0.7493623351866958	0.36719586401727083
Row181	O00483	O00483	Cytochrome c oxidase subunit NDUFA4	NDUFA4	-0.6452037256566356	0.01063412351407838
Row182	O00487	O00487	26S proteasome non-ATPase regulatory subunit 14	PSMD14	-0.2178348982785927	0.22848877534537151
Row183	O00505	O00505	Importin subunit alpha-4	KPNA3	-2.0742809021483986	0.013531381929307675
Row184	O00541;Q9LYK7;Q674R7	O00541	Pescadillo homolog	PES1	-0.9867991995422756	0.001257672639053418
Row185	O00560	O00560	Syntenin-1	SDCBP	-0.29892516942177494	0.23869782222556732
Row186	O00566	O00566	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10	-1.5842673339343953	0.004369974253359977
Row187	O00567	O00567	Nucleolar protein 56	NOP56	-0.32530359222306515	0.054169191842273506
Row188	O00571;Q9NQI0;Q8GY84	O00571	ATP-dependent RNA helicase DDX3X	DDX3X	-0.5652103727979139	0.0085224624662956
Row189	O00625	O00625	Pirin	PIR	0.3712015947734386	0.7278151766291384
Row190	O00629	O00629	Importin subunit alpha-3	KPNA4	-0.7989373382214708	0.023190294082108612
Row191	O00743	O00743	Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed	PPP6C	-1.6528070942954827	0.019858913592493616
Row192	O00754;M0QZ24;M0R2P5	O00754	Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide	MAN2B1	-1.0413007439194324	0.1228583018974108
Row193	O00762	O00762	Ubiquitin-conjugating enzyme E2 C	UBE2C	0.0018018787684255244	0.997957586570755
Row194	O00764	O00764	Pyridoxal kinase	PDXK	-1.0901670893327307	0.028167676378216842
Row195	O00767	O00767	Acyl-CoA desaturase	SCD	-3.448452623507741	3.156963787331038E-4
Row196	O03042;P93292;F4INE2;REV__Q9FRK9;REV__O04658;O80674;P19086;Q7Z736	O03042	Ribulose bisphosphate carboxylase large chain	rbcL	2.6002513767515154	2.8234898354971844E-5
Row197	O04151	O04151	Calreticulin-1	CRT1	4.4778571018607565	1.7430519918908784E-4
Row198	O04209	O04209	Clathrin light chain 2	CLC2	NA	NA
Row199	O04309	O04309	Jacalin-related lectin 35	JAL35	3.007269319064335	1.2865039505344564E-4
Row200	O04331;Q9LK25	O04331;Q9LK25	Prohibitin-3, mitochondrial;Prohibitin-4, mitochondrial	PHB3;PHB4	NA	NA
Row201	O04450;Q67ZE4	O04450	T-complex protein 1 subunit epsilon	CCT5	NA	NA
Row202	O04487	O04487	Probable elongation factor 1-gamma 1	NA	4.837310700445343	2.3800246896913E-4
Row203	O04496	O04496	NA	F21M12.13	2.4967140455371073	0.008765504313699957
Row204	O04499	O04499	2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1	PGM1	2.3158157731128384	0.0013098733739154709
Row205	O04532	O04532	Formin-like protein 8	FH8	2.387498152794386	0.0030482723031179837
Row206	O04573	O04573	UPF0540 protein At1g62060	NA	NA	NA
Row207	O04603	O04603	50S ribosomal protein L5, chloroplastic	RPL5	5.090729677471344	5.846729205456674E-4
Row208	O04616	O04616	Protein CURVATURE THYLAKOID 1A, chloroplastic	CURT1A	4.453180884443018	0.007372742738744185
Row209	O04630	O04630	Threonine--tRNA ligase, mitochondrial	THRRS	NA	NA
Row210	O04834;Q8VYP7;O80489;Q3E6Q3	O04834;Q8VYP7;O80489	GTP-binding protein SAR1A	SAR1A;At3g62560;T12M4.12	4.413189572079528	3.5075902476506346E-5
Row211	Q9S9K7;O04848	Q9S9K7;O04848	Probable histone H2AXb;Probable histone H2AXa	NA	-0.2712767522519748	0.799460239893206
Row212	O04905	O04905	UMP-CMP kinase 3	UMK3	NA	NA
Row213	O04922;O22850	O04922	Probable glutathione peroxidase 2	GPX2	NA	NA
Row214	O04983	O04983	Biotin carboxylase, chloroplastic	CAC2	5.507146091315956	7.157670469171922E-4
Row215	O14497	O14497	AT-rich interactive domain-containing protein 1A	ARID1A	-1.5213069574977105	0.25400781247173754
Row216	O14519;O75956	O14519;O75956	Cyclin-dependent kinase 2-associated protein 1;Cyclin-dependent kinase 2-associated protein 2	CDK2AP1;CDK2AP2	-0.2961912992170248	0.3895032368650724
Row217	O14524	O14524	Transmembrane protein 194A	TMEM194A	NA	NA
Row218	O14530	O14530	Thioredoxin domain-containing protein 9	TXNDC9	NA	NA
Row219	O14545	O14545	TRAF-type zinc finger domain-containing protein 1	TRAFD1	2.708270575801741	4.80471090418383E-5
Row220	O14548	O14548	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7A2L	NA	NA
Row221	O14561	O14561	Acyl carrier protein, mitochondrial	NDUFAB1	-0.2646801621091086	0.08674245210029223
Row222	O14562	O14562	Ubiquitin domain-containing protein UBFD1	UBFD1	NA	NA
Row223	O14579	O14579	Coatomer subunit epsilon	COPE	-1.1005502603811017	0.006175682603075671
Row224	O14602;P47813	O14602;P47813	Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal	EIF1AY;EIF1AX	-0.9129310228093921	0.008214539662388807
Row225	O14617	O14617	AP-3 complex subunit delta-1	AP3D1	-1.7219588020443481	0.0013520990717556804
Row226	Q92997;O14641	Q92997;O14641	Segment polarity protein dishevelled homolog DVL-3;Segment polarity protein dishevelled homolog DVL-2	DVL3;DVL2	NA	NA
Row227	O14646	O14646	Chromodomain-helicase-DNA-binding protein 1	CHD1	NA	NA
Row228	O14656	O14656	Torsin-1A	TOR1A	NA	NA
Row229	O14672	O14672	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	-2.957908936120173	0.0085224624662956
Row230	O14737	O14737	Programmed cell death protein 5	PDCD5	-1.0225339425177715	0.1691744848326355
Row231	O14744	O14744	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	-0.6338957310223527	0.011264375286518843
Row232	O14745	O14745	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	SLC9A3R1	-0.36219401274700047	0.19869404969918442
Row233	O14757	O14757	Serine/threonine-protein kinase Chk1	CHEK1	NA	NA
Row234	O14773	O14773	Tripeptidyl-peptidase 1	TPP1	0.1743477903707209	0.5597072775661139
