row ID	Protein IDs	Protein names	id	logFC	P.Value	adj.P.Val
Row58	O00178	GTP-binding protein 1	194	0.05523720410670663	0.910278336546219	0.9629925517642998
Row59	O00182;Q6DKI2;Q3B8N2	Galectin-9;Galectin-9C;Galectin-9B	195	-0.5112341319043274	0.33730763999808133	0.6207236462048433
Row60	O00186	Syntaxin-binding protein 3	196			
Row61	O00193	Small acidic protein	197	0.24781720151079156	0.16985306134530082	0.4545864186535914
Row62	O00203;Q13367	AP-3 complex subunit beta-1	198	0.27530830329385836	0.48538642054349335	0.7462816215856211
Row63	O00217	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	199	-1.0371515524763915	0.25823683168652134	0.5503771592164202
Row64	O00231	26S proteasome non-ATPase regulatory subunit 11	200	-0.22561894365543012	0.23905260318708885	0.5302053688354498
Row65	O00232	26S proteasome non-ATPase regulatory subunit 12	201	-0.058524800799869325	0.7144920821535249	0.8693293768172513
Row66	O00233	26S proteasome non-ATPase regulatory subunit 9	202	-0.11108603763089775	0.7425282016765804	0.8820697188528231
Row67	O00244	Copper transport protein ATOX1	203	-0.2696776357709538	0.5939108861661957	0.8075656084581343
Row68	O00264	Membrane-associated progesterone receptor component 1	204	-0.3345993497791433	0.505025155459573	0.7571412737298092
Row69	O00267	Transcription elongation factor SPT5	205	0.4489337459623961	0.11780347755068069	0.3876876986952167
Row70	O00273	DNA fragmentation factor subunit alpha	206	0.24017011678459	0.15399642909617803	0.44050141346116045
Row71	O00291	Huntingtin-interacting protein 1	207	0.34309612378150334	0.2288083201415995	0.5187727811505389
Row72	O00299	Chloride intracellular channel protein 1	208	0.08702255866252528	0.4389328849313139	0.7091437985197684
Row73	O00303	Eukaryotic translation initiation factor 3 subunit F	209	0.04124106525043203	0.7148927177552692	0.8693293768172513
Row74	O00329;P42338	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	210	-0.8257320366027727	0.08701631727065597	0.3330226678564506
Row75	O00330	Pyruvate dehydrogenase protein X component, mitochondrial	211	0.7104369311690313	0.34352631304903863	0.623671387528144
Row76	O00410;O60518	Importin-5	212	0.08084531714698784	0.5382524526782767	0.779453041445216
Row77	O00411	DNA-directed RNA polymerase, mitochondrial	213			
Row78	O00422;O64644	Histone deacetylase complex subunit SAP18	214	-0.41484658516097994	0.006621363082526756	0.08535486384113095
Row79	O00425;Q9NZI8;Q9Y6M1;Q9M082;Q0WVH7	Insulin-like growth factor 2 mRNA-binding protein 3	215	-0.10915624645183186	0.346968345676926	0.626836325849624
Row80	O00429	Dynamin-1-like protein	216	0.27334284014423105	0.2307408641291114	0.5227529016954235
Row81	O00442	RNA 3-terminal phosphate cyclase	217			
Row82	O00461	Golgi integral membrane protein 4	218	0.3809533169333612	0.5612327105884527	0.7908157334878817
Row83	O00483	Cytochrome c oxidase subunit NDUFA4	219	-0.2138423555307547	0.31597698610942776	0.604513326633202
Row84	O00487	26S proteasome non-ATPase regulatory subunit 14	220	-0.38551878261624495	0.00774427593401819	0.0956425699377498
Row85	O00505	Importin subunit alpha-4	222	1.1813904858498816	0.03608758841296715	0.20759639670182953
Row86	O00541;Q9LYK7;Q674R7	Pescadillo homolog	223	0.29678717862206483	0.02839879078966509	0.1847001178049431
Row87	O00560	Syntenin-1	224	-0.7035753190774194	0.06285172967185958	0.28544354767896846
Row88	O00566	U3 small nucleolar ribonucleoprotein protein MPP10	225	-0.20093620143113355	0.6646968810463998	0.8391809599576406
Row89	O00567	Nucleolar protein 56	226	0.03793892581900593	0.7570237327972518	0.8872234467262511
Row90	O00571;Q9NQI0;Q8GY84	ATP-dependent RNA helicase DDX3X	227	0.0953660263359275	0.36163578517542166	0.6416777988883724
Row91	O00625	Pirin	228	-1.3759859970501438	0.3830564064338628	0.6574502919787317
Row92	O00629	Importin subunit alpha-3	229	-0.09738474340303682	0.7195034068471758	0.8693697003686573
Row93	O00743	Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed	230	0.664516397365368	0.21882996284485368	0.5102575436951091
Row94	O00754;M0QZ24;M0R2P5	Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide	231			
Row95	O00762	Ubiquitin-conjugating enzyme E2 C	232	-0.07844156576525663	0.8163136571594787	0.9199998928348081
Row96	O00764	Pyridoxal kinase	233	2.3180477791644485	0.0011483488514955292	0.024387955464854692
Row97	O00767	Acyl-CoA desaturase	234	1.5257064676476766	0.1954626707697728	0.48244632450867003
Row98	O14497	AT-rich interactive domain-containing protein 1A	255	0.9836272237598429	0.43848268595704615	0.7091437985197684
Row99	O14519;O75956	Cyclin-dependent kinase 2-associated protein 1;Cyclin-dependent kinase 2-associated protein 2	256	-0.13481581647626228	0.5528482399378611	0.7860832612280322
Row100	O14524	Transmembrane protein 194A	257			
Row101	O14530	Thioredoxin domain-containing protein 9	258			
Row102	O14545	TRAF-type zinc finger domain-containing protein 1	259	-2.2723847193959514	3.6976149683190066E-6	4.961526993853503E-4
Row103	O14548	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	260			
Row104	O14561	Acyl carrier protein, mitochondrial	261	-0.6092661488837621	0.004931547167597285	0.06899491582344637
Row105	O14562	Ubiquitin domain-containing protein UBFD1	262			
Row106	O14579	Coatomer subunit epsilon	263	0.3059579724952428	0.11088680092736694	0.3775522910468134
Row107	O14602;P47813	Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal	264	2.3488444810007145	0.01115093838528097	0.11928621956846032
Row108	O14617	AP-3 complex subunit delta-1	265	0.6767253364924528	0.002095391056854113	0.039651246152777826
Row109	Q92997;O14641	Segment polarity protein dishevelled homolog DVL-3;Segment polarity protein dishevelled homolog DVL-2	266			
Row110	O14646	Chromodomain-helicase-DNA-binding protein 1	267			
Row111	O14656	Torsin-1A	268			
Row112	O14672	Disintegrin and metalloproteinase domain-containing protein 10	269	0.6770626928194865	0.10452716313803172	0.36603106237659505
Row113	O14737	Programmed cell death protein 5	270	0.4584992829677894	0.4417683763964459	0.7106813335816394
Row114	O14744	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	271	0.05080232405112994	0.7439974978840449	0.8827409686750562
Row115	O14745	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	272	-2.181665621718661	9.444136149605833E-5	0.004099866163770062
Row116	O14757	Serine/threonine-protein kinase Chk1	273			
Row117	O14773	Tripeptidyl-peptidase 1	274	-0.6424441504726239	0.09162129883812842	0.3449822374619325
Row118	O14776;Q5VWI1	Transcription elongation regulator 1	275	0.0989554793944123	0.6210743397810842	0.8193341396664463
Row119	O14787	Transportin-2	276	0.42837015795078415	0.21865256160868488	0.5102575436951091
Row120	O14818;Q8TAA3	Proteasome subunit alpha type-7	277	0.011823557626996717	0.9323873975661214	0.9697058680098146
Row121	O14828	Secretory carrier-associated membrane protein 3	278	-0.30546219106552286	0.42571747972494084	0.696242659361787
Row122	O14874	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	279	-2.568333327249462	3.4757057827502813E-4	0.010363922697655384
Row123	O14925;Q5SRD1	Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B	280	-0.3363827168995108	0.1489678494450279	0.4331046686813505
Row124	O14929;REV__Q7LFX5	Histone acetyltransferase type B catalytic subunit	281	-0.047455051266233284	0.8589808497798829	0.9406838513176398
Row125	O14933	Ubiquitin/ISG15-conjugating enzyme E2 L6	282	-0.48677175340441536	0.2564333639298058	0.5492361787619235
Row126	O14949	Cytochrome b-c1 complex subunit 8	283	0.1903638551858755	0.41286200056272754	0.6832178349267488
Row127	O14950;P24844	Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	284			
Row128	O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate	285	-3.3146752919249067	5.22860296946036E-6	6.143507831043786E-4
Row129	O14966	Ras-related protein Rab-7L1	286			
Row130	O14974	Protein phosphatase 1 regulatory subunit 12A	287			
Row131	O14976	Cyclin-G-associated kinase	288			
Row132	O14979	Heterogeneous nuclear ribonucleoprotein D-like	289	-0.16802313694466164	0.24779851519245596	0.540252006534808
Row133	O14980	Exportin-1	290	0.317415692104003	0.05567342298692296	0.27073077397141015
Row134	O14981	TATA-binding protein-associated factor 172	291			
Row135	O15027	Protein transport protein Sec16A	292	0.4438490888687987	0.03849775848712052	0.21771146178923326
Row136	O15042	U2 snRNP-associated SURP motif-containing protein	293	0.28766275161024524	0.28193878310342285	0.5754444186707985
Row137	O15067	Phosphoribosylformylglycinamidine synthase	294	0.3095645666289393	0.5971338007903123	0.8087384736903647
Row138	O15091	Mitochondrial ribonuclease P protein 3	295			
Row139	O15111;O14920	Inhibitor of nuclear factor kappa-B kinase subunit alpha	296			
Row140	O15116	U6 snRNA-associated Sm-like protein LSm1	297	-0.8667629682490983	0.13061912946140697	0.40702508969035445
Row141	O15126	Secretory carrier-associated membrane protein 1	298			
Row142	O15127	Secretory carrier-associated membrane protein 2	299	-1.4262582664501657	0.10389567294055672	0.3659955745106314
Row143	O15143	Actin-related protein 2/3 complex subunit 1B	300	-0.056603537085525346	0.6074520905260443	0.8146203763407617
Row144	O15144;Q0V7U7	Actin-related protein 2/3 complex subunit 2	301	-0.061219592643066534	0.6096138751784914	0.815163449918845
Row145	O15145	Actin-related protein 2/3 complex subunit 3	302	-0.6130563501037436	0.004304907601274146	0.06477298869063197
Row146	O15155	BET1 homolog	303	-0.45498649553887205	0.07802080901951827	0.3146412953901884
Row147	O15160	DNA-directed RNA polymerases I and III subunit RPAC1	304	-2.4546538812781122	0.17850592492173759	0.46058735798607336
Row148	O15162	Phospholipid scramblase 1	305			
Row149	O15173	Membrane-associated progesterone receptor component 2	306	-0.6532849452649643	0.031927013584957344	0.19527390939893494
Row150	P84022;Q15796;O15198;Q99717;Q15797	Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 2;Mothers against decapentaplegic homolog 9;Mothers against decapentaplegic homolog 5;Mothers against decapentaplegic homolog 1	307			
Row151	O15212	Prefoldin subunit 6	308	-0.1321680780151162	0.49597552308768	0.7526981244928892
Row152	O15213	WD repeat-containing protein 46	309	0.7112922482402873	0.26134707559644094	0.5546344839401105
Row153	O15226	NF-kappa-B-repressing factor	310	-0.5987431883893102	0.04711516022554415	0.2458651240004728
Row154	O15260	Surfeit locus protein 4	312	-0.43346502394539144	0.20353306011546285	0.4899294070330139
Row155	O15269	Serine palmitoyltransferase 1	313	0.12976393273950038	0.7983468507712781	0.9119201261311483
Row156	O15270	Serine palmitoyltransferase 2	314	-1.3875160788868683	0.026573424140206373	0.17911787153240388
Row157	O15294	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	315	0.921252963821388	0.17821510035069985	0.46058735798607336
Row158	O15305	Phosphomannomutase 2	316	-0.43999180812578587	0.4391310513869026	0.7091437985197684
Row159	O15347	High mobility group protein B3	317	0.81482366569265	7.658470889522752E-4	0.01883983838822597
Row160	O15355	Protein phosphatase 1G	318	0.12898731593174162	0.40157752185068096	0.6762446346281861
Row161	O15371	Eukaryotic translation initiation factor 3 subunit D	319	-0.05786537661530389	0.6429682998671735	0.8299267254953635
Row162	O15372	Eukaryotic translation initiation factor 3 subunit H	320	0.35085812428707186	0.08744312436118684	0.33371599059094686
Row163	O15381	Nuclear valosin-containing protein-like	321			
Row164	O15382	Branched-chain-amino-acid aminotransferase, mitochondrial	322	1.5455354371914005	0.08359023179693859	0.32949996937599957
Row165	O15397	Importin-8	323	0.2238491811414356	0.7719302759013346	0.8957304144892845
Row166	O15400	Syntaxin-7	324	0.36177312625101266	0.4799622841889888	0.7418055826837145
Row167	O15446	DNA-directed RNA polymerase I subunit RPA34	326	0.40396564835180016	0.5295632595953377	0.7732370881495743
Row168	O15479	Melanoma-associated antigen B2	327			
Row169	O15498	Synaptobrevin homolog YKT6	328	-0.6856251153434982	0.006212162126025564	0.0815035670934554
Row170	O15511	Actin-related protein 2/3 complex subunit 5	329	-0.19988495680585316	0.142544043741037	0.42461152081083875
Row171	O15514	DNA-directed RNA polymerase II subunit RPB4	330			
Row172	O15533	Tapasin	332	0.03502060335688029	0.803286607466305	0.9133496714218491
Row173	O43143;F4JMJ3;Q8VY00;F4IJV4;Q38953	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	391	-0.32918013139531865	0.03379546037083899	0.20277963378516098
Row174	O43148	mRNA cap guanine-N7 methyltransferase	392	-0.37139269935534003	0.267090959595155	0.5594700821339262
Row175	O43156	TELO2-interacting protein 1 homolog	393	0.6237754022614794	0.04822496509024681	0.2493171575243583
Row176	O43159	Ribosomal RNA-processing protein 8	394	0.2214372907116804	0.8073621766101038	0.9156101211498373
Row177	O43169	Cytochrome b5 type B	395	0.09452040628134384	0.5893939666989747	0.8050304415000575
Row178	O43172	U4/U6 small nuclear ribonucleoprotein Prp4	396	0.017448862093942807	0.8942269293329248	0.9574747534968422
Row179	O43175	D-3-phosphoglycerate dehydrogenase	397	0.5436306733401217	0.0262540805763089	0.17857382513187167
Row180	O43181	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	398			
Row181	O43242	26S proteasome non-ATPase regulatory subunit 3	399	0.5108003595985551	0.028433071728165338	0.1847001178049431
Row182	O43252;O95340	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	400	3.133902624500273	0.14295922824317553	0.4254189937236433
Row183	O43264	Centromere/kinetochore protein zw10 homolog	401	0.08507063951378413	0.7378593643046212	0.8805926631273049
Row184	O43286	Beta-1,4-galactosyltransferase 5	402	-0.625591350811689	0.026270253445096692	0.17857382513187167
Row185	O43290	U4/U6.U5 tri-snRNP-associated protein 1	403	0.36632318850384493	0.13959507583561984	0.41878522750685954
Row186	O43314;Q6PFW1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2;Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	405	-2.3693450735194403	0.21044928319505643	0.49979588414465537
Row187	O43324;C9J1V9	Eukaryotic translation elongation factor 1 epsilon-1	406	-0.3832867741957564	0.0531685456296908	0.2634609180086568
Row188	O43390	Heterogeneous nuclear ribonucleoprotein R	407	0.03887769410778219	0.7091921129913057	0.8667775323664497
Row189	O43395	U4/U6 small nuclear ribonucleoprotein Prp3	408	-1.033069054886134	1.3812679953366738E-4	0.005295458600303716
Row190	O43396	Thioredoxin-like protein 1	409	-0.21447787381483607	0.2627713146721754	0.554864750294894
Row191	O43399	Tumor protein D54	410	0.062170233422616406	0.6856767967621651	0.8541574401169844
Row192	O43402	ER membrane protein complex subunit 8	411	-1.216202755122481	0.5033269821708811	0.7565673298139566
Row193	O43447;Q9LY75	Peptidyl-prolyl cis-trans isomerase H	412	-0.1750613374742116	0.4509411559268844	0.715761079878543
Row194	O43464	Serine protease HTRA2, mitochondrial	413			
Row195	O43488;Q8NHP1;O95154	Aflatoxin B1 aldehyde reductase member 2;Aflatoxin B1 aldehyde reductase member 4	414	-0.10898418532054777	0.7939561755790201	0.9084335776392508
Row196	O43493	Trans-Golgi network integral membrane protein 2	415			
Row197	O43504	Ragulator complex protein LAMTOR5	416			
Row198	O43516	WAS/WASL-interacting protein family member 1	417	-0.37098725466700344	0.1381268446654728	0.4177376760077443
Row199	O43583	Density-regulated protein	418	-0.001292054042945523	0.9953454271019857	0.9982589456266965
Row200	O43592	Exportin-T	419	-0.0492800662579036	0.9376547894192107	0.9697058680098146
Row201	O43598;REV__F4IYK6	2-deoxynucleoside 5-phosphate N-hydrolase 1	420	0.5110200891431589	0.2372114826341686	0.5300984833509844
Row202	O43615	Mitochondrial import inner membrane translocase subunit TIM44	421	0.3964504291844726	0.21808039921683312	0.5097176076706977
Row203	O43617	Trafficking protein particle complex subunit 3	422	1.5845489224918552	0.0090162685358886	0.10478749888953996
Row204	O43660	Pleiotropic regulator 1	423	-0.07986585169627602	0.8550088056819602	0.9386336907300658
Row205	O43663;REV__Q9XIN5;REV__P07476;REV__Q8NE71;Q4VCS5;Q9FKP4	Protein regulator of cytokinesis 1	424	-0.3846771979348311	0.018354474694399582	0.15177145461587555
Row206	O43665	Regulator of G-protein signaling 10	425	-0.09119248240648758	0.8040238858117674	0.9133496714218491
Row207	O43670	BUB3-interacting and GLEBS motif-containing protein ZNF207	426	-0.2705821980929066	0.07703192331558918	0.3132207129857015
Row208	O43674	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	427			
Row209	O43681	ATPase ASNA1	428	0.23385603523862386	0.27834276672505937	0.5735447660778195
Row210	O43684	Mitotic checkpoint protein BUB3	429	-0.48533912031778215	0.10634894315131509	0.3702147171965591
Row211	O43707;P35609;Q08043	Alpha-actinin-4	430	0.045879633796118924	0.6876975122745259	0.8547718131513264
Row212	O43708	Maleylacetoacetate isomerase	431			
Row213	O43709	Probable 18S rRNA (guanine-N(7))-methyltransferase	432	1.447838785367363	0.004727586114849202	0.06823600370340346
Row214	O43719	HIV Tat-specific factor 1	433	0.840481301967543	0.08879158934588317	0.3382100280632866
Row215	O43739;Q15438;Q99418	Cytohesin-3;Cytohesin-1;Cytohesin-2	434	-0.7028576283306514	0.010933544283267517	0.11822645686522239
Row216	O43747	AP-1 complex subunit gamma-1	435	-0.4518195346522589	0.16907007287785647	0.45398116952266565
Row217	O43760	Synaptogyrin-2	436	0.9374133352799774	0.22378513111255893	0.5132973636707645
Row218	O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	437	0.24897757463838488	0.27565465355827673	0.5709837825503891
Row219	O43768	Alpha-endosulfine	438	-0.5338382053899942	0.004787063644240237	0.06823600370340346
Row220	O43776	Asparagine--tRNA ligase, cytoplasmic	439	0.3839694573789991	0.01715390609724098	0.14704905444831748
Row221	O43805	Sjoegren syndrome nuclear autoantigen 1	440			
Row222	O43809	Cleavage and polyadenylation specificity factor subunit 5	441	0.2450896605974151	0.22778561505362493	0.517537147052526
Row223	O43813	LanC-like protein 1	442	0.1592082667161172	0.38989334344860027	0.6649134314617378
Row224	O43818	U3 small nucleolar RNA-interacting protein 2	443	0.2887154655183224	0.44695725502752215	0.7139728681366484
Row225	O43819	Protein SCO2 homolog, mitochondrial	444	-0.5773829900147831	0.19939137048807376	0.48501298742648447
Row226	O43823	A-kinase anchor protein 8	445	1.2614215152916763	0.011574381543538062	0.1213716916419119
Row227	O43837	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	446	0.004491059281406251	0.9874299066481301	0.9954305821778086
Row228	O43847	Nardilysin	447	0.4203231576175348	0.22707250129589224	0.5171963983790678
Row229	O43852	Calumenin	448	0.18511396920022705	0.4109691436517354	0.6832178349267488
Row230	O43865;Q96HN2	Putative adenosylhomocysteinase 2;Putative adenosylhomocysteinase 3	449	0.3287014637227621	0.5901936836253013	0.8050304415000575
Row231	O43913	Origin recognition complex subunit 5	450			
Row232	O43920	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	451	-0.5164381139144325	0.004775829835482227	0.06823600370340346
Row233	O43924	Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta	452			
Row234	O43929	Origin recognition complex subunit 4	453	-0.8280933695605448	0.10435900783241515	0.3659955745106314
Row235	O60216;Q9H4I0	Double-strand-break repair protein rad21 homolog	484	-0.07473525964584837	0.800361943938351	0.912932170983776
Row236	O60220	Mitochondrial import inner membrane translocase subunit Tim8 A	485	-3.174544676064979	0.005435082771801984	0.07359800157045622
Row237	O60231	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	486	0.7295430813349917	0.03680422586237095	0.21014714651009486
Row238	O60232	Sjoegren syndrome/scleroderma autoantigen 1	487	0.4524150038195067	0.28532769333312147	0.5777176231237315
Row239	O60234	Glia maturation factor gamma	488	-0.0749231240005983	0.5547557113156389	0.7860832612280322
Row240	O60256	Phosphoribosyl pyrophosphate synthase-associated protein 2	489	0.6219097222793515	0.28581445869018113	0.5778933438722018
Row241	O60264;P28370;F4JY24;Q8RWY3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	490	-0.15280534230157272	0.15575510167799092	0.442530375508594
Row242	O60271;Q9UPT6	C-Jun-amino-terminal kinase-interacting protein 4	491	0.11548841635157103	0.8698723210454922	0.9451057008457786
Row243	O60287	Nucleolar pre-ribosomal-associated protein 1	492	1.6114456945756146	0.03466641009806436	0.20479527878053616
Row244	O60306;REV__Q8L466;REV__Q9LPG2;REV__Q9BWW8;REV__Q5JR59;Q8L5Y4;REV__Q9NZM3;REV__F4JV60;F4I443	Intron-binding protein aquarius	493	-0.12891466726272682	0.629156524047038	0.8236230860252134
